Keycode,ShortNames,Description,Category,Compatibility
K_WWW,"",Internet Browser Keyboard,Applications,Linux Android
C_AL_EMAIL,"C_AL_MAIL",Email Reader Consumer AL,Applications,Linux Android
C_AL_CALCULATOR,"C_AL_CALC",Calculator Consumer AL,Applications,Linux Android
K_CALCULATOR,"K_CALC",Calculator Keyboard,Applications,Linux Android
C_AC_BOOKMARKS,"C_AC_FAVORITES,C_AC_FAVOURITES",Bookmarks Consumer AC,Applications,All platforms
C_POWER,"C_PWR",Power Consumer,Power,Linux macOS iOS
K_POWER,"K_PWR",Power Keyboard,Power,Android macOS iOS
C_SLEEP,"",Sleep Consumer,Power,Linux only
K_SLEEP,"",Sleep Keyboard,Power,Linux Android
C_AL_LOCK,"C_AL_SCREENSAVER,C_AL_COFFEE",Terminal Lock / Screensaver Consumer AL,Power,Linux Android
K_LOCK,"K_SCREENSAVER,K_COFFEE",Lock Keyboard,Power,Linux Android
